"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "HTML", "JSON", "Prisma", "Properties", "SQL", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\errorMessage\styles.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\input\styles.ts", "TypeScript", -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -19
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\nav\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -73, 0, 0, 0, -7, -80
"c:\Users\pottassiu\Documents\Weeat\Client\src\components\nav\styles.ts", "TypeScript", -111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -120
"c:\Users\pottassiu\Documents\Weeat\Client\src\context\appContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, -3, -19
"c:\Users\pottassiu\Documents\Weeat\Client\src\context\authContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, -6, -36
"c:\Users\pottassiu\Documents\Weeat\Client\src\context\storeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -137, 0, 0, -1, -8, -146
"c:\Users\pottassiu\Documents\Weeat\Client\src\context\userContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -132, 0, 0, 0, -9, -141
"c:\Users\pottassiu\Documents\Weeat\Client\src\firebase.ts", "TypeScript", -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3, -17
"c:\Users\pottassiu\Documents\Weeat\Client\src\global-style.ts", "TypeScript", -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -46
"c:\Users\pottassiu\Documents\Weeat\Client\src\helper\URL.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\pottassiu\Documents\Weeat\Client\src\lib\storeForms.ts", "TypeScript", -106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -110
"c:\Users\pottassiu\Documents\Weeat\Client\src\lib\userForms.ts", "TypeScript", -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -31
"c:\Users\pottassiu\Documents\Weeat\Client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -2, -11
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\Favorites\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -102, 0, 0, -12, -5, -119
